OBJECTID,Linear_Distance_km_,Latitude,Longitude,HS,UCL,LCL,Resistencia,Distancia_area,porcen_cobertura,Dist_rios,Dist_corred,Altitud,NDVI,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_1,HOTSP
394,16.23,5.820122804,-75.69043601,6.784487,5.852552,-5.330669,329.2359,8057.5049,62,92.6723,4285.0293,586,0.335954994,0.097600415,0.087695122,0.065400511,0.304037422,0.177540347,296.5016785,296.4136658,0.07255359,0.177841216,2,1
395,16.271,5.820491456,-75.69047263,6.784885,5.851613,-5.347646,342.4635,8051.7764,62,92.6723,4285.0293,581,0.537801981,0.095105179,0.084709741,0.060264558,0.303055525,0.172219008,295.9920959,296.2725525,0.066203609,0.17433314,2,1
396,16.312,5.820824708,-75.69058859,6.79863,5.864239,-5.348455,350.2884,8037.3833,72,92.6723,4251.8306,581,0.498248011,0.095763497,0.089772068,0.066896498,0.305468857,0.189777181,295.9920959,295.9896851,0.077799097,0.178161696,2,1
397,16.354,5.821081056,-75.69085715,6.80147,5.866689,-5.350689,346.7716,8006.5088,72,92.6723,4165.1016,581,0.340918005,0.096377909,0.08834026,0.064440899,0.306666255,0.185995758,295.9920959,296.2725525,0.07118766,0.178419054,2,1
398,16.395,5.821291017,-75.69116477,6.805539,5.870712,-5.347209,336.6133,7971.6055,82,92.6723,4165.1016,573,0.428225011,0.095248662,0.085829198,0.061512478,0.29975459,0.182558149,295.9920959,295.9896851,0.069549285,0.180145457,2,1
399,16.436,5.821500978,-75.69147238,6.839619,5.904734,-5.313887,335.9082,7936.6968,63,0,4165.1016,580,0.443421006,0.09720657,0.088138014,0.064839572,0.276110619,0.169023424,296.5016785,296.5547791,0.069585614,0.162009805,2,1
400,16.477,5.821710939,-75.69178,5.886486,5.886486,-5.332992,351.9555,7901.7822,54,92.6723,4045.8647,580,0.533488989,0.095763497,0.085557304,0.062969945,0.27961731,0.169023424,296.5016785,296.5547791,0.070278995,0.162526324,2,0
401,16.519,5.821919679,-75.69208762,4.026786,5.897101,-5.324785,352.666,7867.0298,66,92.6723,4045.8647,580,0.626159012,0.093555361,0.08038938,0.058234639,0.273831308,0.153855577,295.4803772,295.8479004,0.06097104,0.158134624,2,0
402,16.56,5.822128419,-75.69239524,4.034034,5.90424,-5.316996,333.7781,7832.3828,71,92.6723,4045.8647,576,0.507754982,0.095708273,0.083617374,0.062022895,0.259665549,0.153169692,295.4803772,295.4219666,0.066479422,0.148776546,2,0
403,16.601,5.82233838,-75.69270285,4.005639,5.87307,-5.331515,331.6418,7797.7295,52,0,3958.9622,576,0.40912801,0.09943568,0.087090828,0.066268191,0.272552937,0.164502054,295.9920959,296.2725525,0.07106588,0.160341859,2,0
404,16.642,5.822548341,-75.69301047,4.004274,5.869329,-5.321003,342.0873,7763.0732,72,0,3927.3816,578,0.513330996,0.099413678,0.089567304,0.068189271,0.276110619,0.183580205,296.5016785,296.5547791,0.079836361,0.167404339,2,0
405,16.684,5.822758302,-75.69331809,3.973915,5.836979,-5.341404,346.0807,7728.5859,45,92.6723,3840.0339,578,0.514989018,0.09924946,0.089268237,0.068189271,0.295410037,0.195987567,295.9920959,296.2725525,0.080572791,0.172788635,2,0
406,16.725,5.822967042,-75.6936257,3.968595,5.830037,-5.338616,347.2373,7694.2046,45,92.6723,3840.0339,568,0.430150002,0.095821306,0.087833732,0.066090025,0.292362154,0.185073718,295.9920959,295.9896851,0.074488953,0.178161696,2,0
407,16.766,5.823173341,-75.69393576,4.000064,5.861424,-5.306739,334.2617,7659.5518,44,0,3840.0339,572,0.44500801,0.101595923,0.090552092,0.070384875,0.27411285,0.175297499,296.7554016,296.5547791,0.081006676,0.167007864,2,0
408,16.807,5.823339357,-75.69426779,5.87272,5.87272,-5.306315,312.4099,7622.479,49,0,3721.9207,572,0.612488985,0.100595914,0.092406735,0.069419906,0.277732193,0.180453956,296.7554016,296.6955566,0.07970579,0.16628179,2,0
409,16.849,5.823424806,-75.69461692,5.886045,5.886045,-5.307701,320.2951,7583.5576,44,0,3721.9207,582,0.489977986,0.098953016,0.089654088,0.069364607,0.276223123,0.173251152,296.5016785,296.5547791,0.074802145,0.164210767,2,0
410,16.89,5.823394288,-75.69498801,5.843261,5.843261,-5.343582,351.3163,7542.2686,44,92.6723,3634.3613,582,0.520663023,0.098338537,0.087090828,0.065954626,0.286391586,0.174161509,296.5016785,296.5547791,0.072378255,0.161495969,2,0
